flight_no,origin,dest,csv_products,hna_products,dep_time,arr_time,days,csv_dates,hna_dates,notes,current_product,suggestion,decision
8L9877,昆明,泉州,2666,2666/666,19:30,22:15,1234567,09-01~10-24,09-02~09-30 10-01~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
8L9879,昆明,福州,2666,2666/666,08:10,11:05,1234567,09-01~10-24,09-02~10-24 09-04~09-29,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
8L9989,昆明,泉州,2666,2666/666,09:00,11:45,246,09-01~10-24,09-03~09-15 09-03~10-24 09-26,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
FU6683,福州,兰州,2666/666,2666,07:55,13:00,246,09-01~09-26 09-29~10-24,09-29~10-24,9.26止,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
FU6683,福州,长沙,2666/666,2666,07:55,09:30,246,09-01~09-19 09-29~10-24,09-29~10-24,9.19止,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
FU6714,呼和浩特,厦门,2666/666,2666,19:00,22:30,1234567,09-01~10-24 09-01~10-24,09-02~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
FU6739,福州,兰州,2666,2666/666,09:00,14:30,1357,09-01~10-24,09-02~10-21 09-02~10-23,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
FU6739,福州,太原,2666,666,09:00,11:40,1357,09-01~10-24,09-02~10-21,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
FU6767,哈尔滨,三亚,2666/666,2666,06:45,15:05,137,10-12~10-24,09-02~10-21,10.12始,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
FU6767,哈尔滨,黄山,2666/666,2666,06:45,10:30,137,10-12~10-24,09-02~10-21,10.12始,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
GS6563,海口,遵义,2666/666,2666,08:00,10:00,1357,09-28~10-09,09-28~10-09,9.28~10.9,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GS6604,呼伦贝尔,呼和浩特,2666,2666/666,19:05,21:10,246,09-01~09-19,09-03~10-24 09-29~10-10,9.19止,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GS6604,呼伦贝尔,重庆,2666,2666/666,19:05,00:30,246,09-01~09-26,09-03~10-24 09-29~10-10,9.26止,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GS6630,呼伦贝尔,乌兰浩特,2666,2666/666,19:45,21:00,1357,09-01~10-24,09-27~10-23 09-30,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GS6630,呼伦贝尔,呼和浩特,2666,2666/666,19:45,23:20,1357,09-01~10-24,09-27~10-23 09-30,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GS7815,天津,十堰,2666/666,2666,08:00,10:10,246,09-01~10-24,09-05~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GS7877,天津,庆阳,2666/666,2666,08:00,10:05,1357,09-01~10-24,09-04~10-23,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GX8814,天津,南宁,2666,2666/666,19:30,22:55,1357,09-01~10-24,09-02~10-23,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GX8816,淮安,海口,2666,2666/666,19:55,00:15,246,09-01~10-24,09-12~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GX8816,淮安,珠海,2666,2666/666,19:55,22:20,246,09-01~10-24,09-12~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GX8824,亳州,南宁,2666/666,2666,22:00,00:30,246,09-01~10-24,09-03~10-24,,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
GX8859,海口,南宁,2666/666,2666,07:40,08:50,1357,09-01~10-24,09-02~10-23,,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
GX8859,海口,淮安,2666/666,2666,07:40,12:15,1357,09-01~10-24,09-02~10-23,,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
GX8863,南宁,呼和浩特,2666/666,2666,07:00,10:10,1234567,09-01~10-24,09-02~10-24,,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
GX8871,海口,徐州,2666/666,2666,06:35,09:20,1234567,09-01~10-24,09-02~10-22,,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
GX8876,济南,张家界,2666/666,2666,20:20,22:25,246,09-01~10-24,09-03 09-17 10-01 10-15,,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
GX8876,济南,海口,2666/666,2666,08:50,13:40,246,10-15,09-03 09-17 10-01 10-15,仅10.15,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
GX8919,济南,十堰,2666/666,2666,20:00,21:45,1357,09-01~10-24,09-02~10-23,,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
GX8919,济南,南宁,2666/666,2666,20:00,00:40,1357,09-01~10-24,09-02~10-23,,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
GX8931,海口,泸州,2666/666,2666,19:30,21:35,1234567,09-01~10-24 09-01~10-24,09-02~10-23,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
HU7022,深圳,海口,2666,2666/666,08:50,10:15,1234567,09-01~10-24,09-02~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
HU7698,太原,南京,2666/666,2666,08:00,10:10,1234567,09-01~10-24,09-02~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
HU7701,北京,深圳,2666,2666/666,08:30,11:50,1234567,09-01~10-24,09-02~10-24 09-03~10-22,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
HU7746,徐州,深圳,2666,2666/666,19:20,22:00,1234567,09-01~10-24,09-02~10-24 09-06~10-18,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
HU7855,乌鲁木齐,呼和浩特,2666/666,2666,08:00,11:15,1234567,09-01~10-08 10-09~10-24,09-02~10-24,10.8止,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
JD5221,北京,二连浩特,2666/666,2666,19:20,20:40,1234567,09-01~10-24 09-01~10-24,09-02~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
JD5763,海口,桂林,2666/666,2666,08:00,09:20,1234567,09-01~09-26,09-02~10-24,9.26止,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
JD5859,丽江,武汉,2666/666,2666,08:00,10:30,1234567,09-01~10-24,09-02~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
PN6239,重庆,丽江,2666,2666/666,19:45,21:30,1234567,09-01~10-24,09-02~10-04 09-02~10-24 10-18~10-23,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
PN6269,重庆,乌鲁木齐,2666/666,2666,08:00,11:50,246,09-01~10-24,09-03~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
PN6447,贵阳,合肥,2666/666,2666,20:20,22:25,1234567,09-01~10-24,09-02~10-24,,666/2666,666 时段内 → 666 或 both（以 hna 标记为准）,
PN6485,重庆,泉州,2666,2666/666,19:55,22:20,1234567,09-01~10-24,09-02~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
Y87531,深圳,杭州,2666,2666/666,08:50,11:20,246,09-01~10-24,09-03~10-22 09-03~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
Y87531,深圳,长春,2666,2666/666,08:50,15:50,246,09-01~10-24,09-03~10-22 09-03~10-24,,666/2666,非 666 时段（19-20/08-09点）→ 仅 2666,
